transcript_hebrew,intent
תכתבי מייל לצוות שלי ותבקשי לעדכן את תוכנית העבודה.,sendemail
איך אני מגיע לפארק הירקון מנתניה?,transport_query
כמה זה עשרה יורו בשקלים?,qa_currency
מי המציא את הטלפון הראשון?,qa_factoid
תוסיפי לי ביומן אירוע למשחק כדורגל בשבת.,calendar_set
תצלמי אותי במצלמה הקדמית עם חיוך.,camera_query
תנגני את הספר הקולי 'הנסיך הקטן'.,play_audiobook
מהי עיר הבירה של יפן?,qa_factoid
תבדקי האם חם בחיפה היום בצהריים.,weather_query
תכתבי סטטוס בפייסבוק: 'איזה כיף להיות בחופשה!',social_post
איך אני מגיע לפארק הירקון מירושלים?,transport_query
איך אני מגיע לפארק הירקון מאילת?,transport_query
תבדקי האם חם בירושלים היום בצהריים.,weather_query
איך אני מגיע לפארק הירקון מבאר שבע?,transport_query
תבדקי האם חם באילת היום בצהריים.,weather_query
איך אני מגיע לפארק הירקון מאשדוד?,transport_query
תבדקי האם חם בנתניה היום בצהריים.,weather_query
תבדקי האם חם בתל אביב היום בצהריים.,weather_query
תבדקי האם חם באשדוד היום בצהריים.,weather_query
איך אני מגיע לפארק הירקון מחיפה?,transport_query
תבדקי האם חם בבאר שבע היום בצהריים.,weather_query
איך אני מגיע לפארק הירקון מתל אביב?,transport_query
תכווני שעון לשעה שבע וחצי מחר בבוקר.,alarm_set
תזכירי לי לקום בשש בבוקר לעבודה.,alarm_set
שימי שעון מעורר לשעה עשר בבוקר ביום ראשון.,alarm_set
אני צריך שעון מעורר לחמש וחצי בבוקר.,alarm_set
כווני שעון לשמונה בערב לפגישה.,alarm_set
שימי לי שעון לעוד שעתיים מהזמן הנוכחי.,alarm_set
תעירי אותי מחר בשעה שש ורבע בבוקר.,alarm_set
תוסיפי שעון מעורר לשעה שלוש אחר הצהריים.,alarm_set
אני צריך התראה לשעה חמש בערב.,alarm_set
תכווני לי שעון מעורר לשעה תשע מחר בבוקר.,alarm_set
תכווני שעון לשעה שבע בבוקר ביום חמישי.,alarm_set
תזכירי לי לקום בשמונה לעבודה מחר.,alarm_set
שימי שעון מעורר לשעה ארבע אחר הצהריים.,alarm_set
אני צריך התראה לשעה שתיים וחצי.,alarm_set
כווני שעון לעוד חמש עשרה דקות.,alarm_set
שימי לי שעון לשעה עשר ורבע בבוקר מחר.,alarm_set
תעירי אותי בשעה חמש לפנות בוקר.,alarm_set
תוסיפי תזכורת לשעה אחת בצהריים מחר.,alarm_set
אני צריך שעון מעורר לעשר וחצי מחר בבוקר.,alarm_set
שימי תזכורת לשש וחצי בערב.,alarm_set
תכווני שעון לשעה שבע וחצי מחר בבוקר.,alarm_set
תזכירי לי לקום בשש בבוקר לעבודה.,alarm_set
שימי שעון מעורר לשעה עשר בבוקר ביום ראשון.,alarm_set
אני צריך שעון מעורר לחמש וחצי בבוקר.,alarm_set
כווני שעון לשמונה בערב לפגישה.,alarm_set
שימי לי שעון לעוד שעתיים מהזמן הנוכחי.,alarm_set
תעירי אותי מחר בשעה שש ורבע בבוקר.,alarm_set
תוסיפי שעון מעורר לשעה שלוש אחר הצהריים.,alarm_set
אני צריך התראה לשעה חמש בערב.,alarm_set
תכווני לי שעון מעורר לשעה תשע מחר בבוקר.,alarm_set
תכווני שעון לשעה שבע בבוקר ביום חמישי.,alarm_set
תזכירי לי לקום בשמונה לעבודה מחר.,alarm_set
שימי שעון מעורר לשעה ארבע אחר הצהריים.,alarm_set
אני צריך התראה לשעה שתיים וחצי.,alarm_set
כווני שעון לעוד חמש עשרה דקות.,alarm_set
שימי לי שעון לשעה עשר ורבע בבוקר מחר.,alarm_set
תעירי אותי בשעה חמש לפנות בוקר.,alarm_set
תוסיפי תזכורת לשעה אחת בצהריים מחר.,alarm_set
אני צריך שעון מעורר לעשר וחצי מחר בבוקר.,alarm_set
שימי תזכורת לשש וחצי בערב.,alarm_set
תכווני שעון לשעה שבע וחצי מחר בבוקר.,alarm_set
תזכירי לי לקום בשש בבוקר לעבודה.,alarm_set
שימי שעון מעורר לשעה עשר בבוקר ביום ראשון.,alarm_set
אני צריך שעון מעורר לחמש וחצי בבוקר.,alarm_set
כווני שעון לשמונה בערב לפגישה.,alarm_set
שימי לי שעון לעוד שעתיים מהזמן הנוכחי.,alarm_set
תעירי אותי מחר בשעה שש ורבע בבוקר.,alarm_set
תוסיפי שעון מעורר לשעה שלוש אחר הצהריים.,alarm_set
אני צריך התראה לשעה חמש בערב.,alarm_set
תכווני לי שעון מעורר לשעה תשע מחר בבוקר.,alarm_set
תכווני שעון לשעה שבע בבוקר ביום חמישי.,alarm_set
תזכירי לי לקום בשמונה לעבודה מחר.,alarm_set
שימי שעון מעורר לשעה ארבע אחר הצהריים.,alarm_set
אני צריך התראה לשעה שתיים וחצי.,alarm_set
כווני שעון לעוד חמש עשרה דקות.,alarm_set
שימי לי שעון לשעה עשר ורבע בבוקר מחר.,alarm_set
תעירי אותי בשעה חמש לפנות בוקר.,alarm_set
תוסיפי תזכורת לשעה אחת בצהריים מחר.,alarm_set
אני צריך שעון מעורר לעשר וחצי מחר בבוקר.,alarm_set
שימי תזכורת לשש וחצי בערב.,alarm_set
תכווני שעון לשעה שבע וחצי מחר בבוקר.,alarm_set
תזכירי לי לקום בשש בבוקר לעבודה.,alarm_set
שימי שעון מעורר לשעה עשר בבוקר ביום ראשון.,alarm_set
אני צריך שעון מעורר לחמש וחצי בבוקר.,alarm_set
כווני שעון לשמונה בערב לפגישה.,alarm_set
שימי לי שעון לעוד שעתיים מהזמן הנוכחי.,alarm_set
תעירי אותי מחר בשעה שש ורבע בבוקר.,alarm_set
תוסיפי שעון מעורר לשעה שלוש אחר הצהריים.,alarm_set
אני צריך התראה לשעה חמש בערב.,alarm_set
תכווני לי שעון מעורר לשעה תשע מחר בבוקר.,alarm_set
תכווני שעון לשעה שבע בבוקר ביום חמישי.,alarm_set
תזכירי לי לקום בשמונה לעבודה מחר.,alarm_set
שימי שעון מעורר לשעה ארבע אחר הצהריים.,alarm_set
אני צריך התראה לשעה שתיים וחצי.,alarm_set
כווני שעון לעוד חמש עשרה דקות.,alarm_set
שימי לי שעון לשעה עשר ורבע בבוקר מחר.,alarm_set
תעירי אותי בשעה חמש לפנות בוקר.,alarm_set
תוסיפי תזכורת לשעה אחת בצהריים מחר.,alarm_set
אני צריך שעון מעורר לעשר וחצי מחר בבוקר.,alarm_set
שימי תזכורת לשש וחצי בערב.,alarm_set
תכווני שעון לשעה שבע וחצי מחר בבוקר.,alarm_set
תזכירי לי לקום בשש בבוקר לעבודה.,alarm_set
שימי שעון מעורר לשעה עשר בבוקר ביום ראשון.,alarm_set
אני צריך שעון מעורר לחמש וחצי בבוקר.,alarm_set
כווני שעון לשמונה בערב לפגישה.,alarm_set
שימי לי שעון לעוד שעתיים מהזמן הנוכחי.,alarm_set
תעירי אותי מחר בשעה שש ורבע בבוקר.,alarm_set
תוסיפי שעון מעורר לשעה שלוש אחר הצהריים.,alarm_set
אני צריך התראה לשעה חמש בערב.,alarm_set
תכווני לי שעון מעורר לשעה תשע מחר בבוקר.,alarm_set
תכווני שעון לשעה שבע בבוקר ביום חמישי.,alarm_set
תזכירי לי לקום בשמונה לעבודה מחר.,alarm_set
שימי שעון מעורר לשעה ארבע אחר הצהריים.,alarm_set
אני צריך התראה לשעה שתיים וחצי.,alarm_set
כווני שעון לעוד חמש עשרה דקות.,alarm_set
שימי לי שעון לשעה עשר ורבע בבוקר מחר.,alarm_set
תעירי אותי בשעה חמש לפנות בוקר.,alarm_set
תוסיפי תזכורת לשעה אחת בצהריים מחר.,alarm_set
אני צריך שעון מעורר לעשר וחצי מחר בבוקר.,alarm_set
שימי תזכורת לשש וחצי בערב.,alarm_set
תנגני את הספר הקולי 'מלחמה ושלום'.,play_audiobook
אני רוצה להאזין לספר 'על העיוורון' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק האחרון שהתחלתי.,play_audiobook
תפעילי ספר שמע בז'אנר רומנטיקה.,play_audiobook
תנגני את האודיו בוק 'שר הטבעות' חלק ראשון.,play_audiobook
אני רוצה לשמוע ספר קולי בעברית.,play_audiobook
תפעילי את הספר '1984' של ג'ורג' אורוול.,play_audiobook
תתחילי לנגן ספר שמע חדש בז'אנר מדע בדיוני.,play_audiobook
תנגני את האודיו בוק 'יוליסס' בבקשה.,play_audiobook
אני רוצה להאזין לספר 'הגלים' של וירג'יניה וולף.,play_audiobook
תתחילי לנגן ספר קולי בז'אנר מתח.,play_audiobook
תנגני את הספר הקולי 'החטא ועונשו'.,play_audiobook
אני רוצה לשמוע ספר שמע על היסטוריה.,play_audiobook
תפעילי את הספר 'המסע המופלא' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק של הארי פוטר.,play_audiobook
תנגני ספר שמע חדש בז'אנר קומדיה.,play_audiobook
"תפעילי את הספר 'האריה, המכשפה וארון הבגדים'.",play_audiobook
אני רוצה להאזין לספר 'פרידה אהבה' של גבריאל גרסיה מרקס.,play_audiobook
תנגני את הספר הקולי האחרון בספרייה שלי.,play_audiobook
תתחילי לנגן את הספר 'מבעד למראה'.,play_audiobook
תנגני את הספר הקולי 'מלחמה ושלום'.,play_audiobook
אני רוצה להאזין לספר 'על העיוורון' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק האחרון שהתחלתי.,play_audiobook
תפעילי ספר שמע בז'אנר רומנטיקה.,play_audiobook
תנגני את האודיו בוק 'שר הטבעות' חלק ראשון.,play_audiobook
אני רוצה לשמוע ספר קולי בעברית.,play_audiobook
תפעילי את הספר '1984' של ג'ורג' אורוול.,play_audiobook
תתחילי לנגן ספר שמע חדש בז'אנר מדע בדיוני.,play_audiobook
תנגני את האודיו בוק 'יוליסס' בבקשה.,play_audiobook
אני רוצה להאזין לספר 'הגלים' של וירג'יניה וולף.,play_audiobook
תתחילי לנגן ספר קולי בז'אנר מתח.,play_audiobook
תנגני את הספר הקולי 'החטא ועונשו'.,play_audiobook
אני רוצה לשמוע ספר שמע על היסטוריה.,play_audiobook
תפעילי את הספר 'המסע המופלא' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק של הארי פוטר.,play_audiobook
תנגני ספר שמע חדש בז'אנר קומדיה.,play_audiobook
"תפעילי את הספר 'האריה, המכשפה וארון הבגדים'.",play_audiobook
אני רוצה להאזין לספר 'פרידה אהבה' של גבריאל גרסיה מרקס.,play_audiobook
תנגני את הספר הקולי האחרון בספרייה שלי.,play_audiobook
תתחילי לנגן את הספר 'מבעד למראה'.,play_audiobook
תנגני את הספר הקולי 'מלחמה ושלום'.,play_audiobook
אני רוצה להאזין לספר 'על העיוורון' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק האחרון שהתחלתי.,play_audiobook
תפעילי ספר שמע בז'אנר רומנטיקה.,play_audiobook
תנגני את האודיו בוק 'שר הטבעות' חלק ראשון.,play_audiobook
אני רוצה לשמוע ספר קולי בעברית.,play_audiobook
תפעילי את הספר '1984' של ג'ורג' אורוול.,play_audiobook
תתחילי לנגן ספר שמע חדש בז'אנר מדע בדיוני.,play_audiobook
תנגני את האודיו בוק 'יוליסס' בבקשה.,play_audiobook
אני רוצה להאזין לספר 'הגלים' של וירג'יניה וולף.,play_audiobook
תתחילי לנגן ספר קולי בז'אנר מתח.,play_audiobook
תנגני את הספר הקולי 'החטא ועונשו'.,play_audiobook
אני רוצה לשמוע ספר שמע על היסטוריה.,play_audiobook
תפעילי את הספר 'המסע המופלא' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק של הארי פוטר.,play_audiobook
תנגני ספר שמע חדש בז'אנר קומדיה.,play_audiobook
"תפעילי את הספר 'האריה, המכשפה וארון הבגדים'.",play_audiobook
אני רוצה להאזין לספר 'פרידה אהבה' של גבריאל גרסיה מרקס.,play_audiobook
תנגני את הספר הקולי האחרון בספרייה שלי.,play_audiobook
תתחילי לנגן את הספר 'מבעד למראה'.,play_audiobook
תנגני את הספר הקולי 'מלחמה ושלום'.,play_audiobook
אני רוצה להאזין לספר 'על העיוורון' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק האחרון שהתחלתי.,play_audiobook
תפעילי ספר שמע בז'אנר רומנטיקה.,play_audiobook
תנגני את האודיו בוק 'שר הטבעות' חלק ראשון.,play_audiobook
אני רוצה לשמוע ספר קולי בעברית.,play_audiobook
תפעילי את הספר '1984' של ג'ורג' אורוול.,play_audiobook
תתחילי לנגן ספר שמע חדש בז'אנר מדע בדיוני.,play_audiobook
תנגני את האודיו בוק 'יוליסס' בבקשה.,play_audiobook
אני רוצה להאזין לספר 'הגלים' של וירג'יניה וולף.,play_audiobook
תתחילי לנגן ספר קולי בז'אנר מתח.,play_audiobook
תנגני את הספר הקולי 'החטא ועונשו'.,play_audiobook
אני רוצה לשמוע ספר שמע על היסטוריה.,play_audiobook
תפעילי את הספר 'המסע המופלא' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק של הארי פוטר.,play_audiobook
תנגני ספר שמע חדש בז'אנר קומדיה.,play_audiobook
"תפעילי את הספר 'האריה, המכשפה וארון הבגדים'.",play_audiobook
אני רוצה להאזין לספר 'פרידה אהבה' של גבריאל גרסיה מרקס.,play_audiobook
תנגני את הספר הקולי האחרון בספרייה שלי.,play_audiobook
תתחילי לנגן את הספר 'מבעד למראה'.,play_audiobook
תנגני את הספר הקולי 'מלחמה ושלום'.,play_audiobook
אני רוצה להאזין לספר 'על העיוורון' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק האחרון שהתחלתי.,play_audiobook
תפעילי ספר שמע בז'אנר רומנטיקה.,play_audiobook
תנגני את האודיו בוק 'שר הטבעות' חלק ראשון.,play_audiobook
אני רוצה לשמוע ספר קולי בעברית.,play_audiobook
תפעילי את הספר '1984' של ג'ורג' אורוול.,play_audiobook
תתחילי לנגן ספר שמע חדש בז'אנר מדע בדיוני.,play_audiobook
תנגני את האודיו בוק 'יוליסס' בבקשה.,play_audiobook
אני רוצה להאזין לספר 'הגלים' של וירג'יניה וולף.,play_audiobook
תתחילי לנגן ספר קולי בז'אנר מתח.,play_audiobook
תנגני את הספר הקולי 'החטא ועונשו'.,play_audiobook
אני רוצה לשמוע ספר שמע על היסטוריה.,play_audiobook
תפעילי את הספר 'המסע המופלא' בבקשה.,play_audiobook
תתחילי לנגן את האודיו בוק של הארי פוטר.,play_audiobook
תנגני ספר שמע חדש בז'אנר קומדיה.,play_audiobook
"תפעילי את הספר 'האריה, המכשפה וארון הבגדים'.",play_audiobook
אני רוצה להאזין לספר 'פרידה אהבה' של גבריאל גרסיה מרקס.,play_audiobook
תנגני את הספר הקולי האחרון בספרייה שלי.,play_audiobook
תתחילי לנגן את הספר 'מבעד למראה'.,play_audiobook
תשלחי מייל לחברה שלי ותבקשי ממנה לחזור אליי.,sendemail
תכתבי אימייל למנהל שלי על הפגישה מחר.,sendemail
אני צריך לשלוח מייל לספק עם פרטי ההזמנה.,sendemail
תשלחי מייל עם תמונות מהחופשה לחברים שלי.,sendemail
תבקשי ממנהל הפרויקט אישור במייל על המסמך האחרון.,sendemail
תשלחי אימייל עם הכותרת 'עזרה דחופה' לעמית שלי.,sendemail
תכתבי הודעה במייל על האירוע הקרוב לצוות.,sendemail
תבקשי מחברי הצוות לעדכן את התוכנית במייל.,sendemail
אני צריך לשלוח מייל על פרטי הפגישה לשותפים.,sendemail
תשלחי מייל לברר על המוצר החדש.,sendemail
תשלחי מייל לחבר שלי עם תמונות מהטיול.,sendemail
תכתבי אימייל לשירות לקוחות ותשאלי על ההזמנה.,sendemail
אני צריך לשלוח מייל לעמית שלי עם העדכונים האחרונים.,sendemail
תבקשי מהבוס במייל אישור על החופשה.,sendemail
תשלחי הודעה במייל למנהל על הפגישה שנקבעה.,sendemail
תבקשי מהמנהל שלי במייל עדכון על הדוח.,sendemail
תשלחי מייל לקולגה שלי עם הקובץ המצורף.,sendemail
תכתבי מייל ללקוח ותודיעי לו על השינוי בזמנים.,sendemail
אני צריך לשלוח מייל לבוס עם פרטי הפרויקט.,sendemail
תבקשי מאמא שלי במייל את המתכון שלה לעוגה.,sendemail
תשלחי מייל לחברה שלי ותבקשי ממנה לחזור אליי.,sendemail
תכתבי אימייל למנהל שלי על הפגישה מחר.,sendemail
אני צריך לשלוח מייל לספק עם פרטי ההזמנה.,sendemail
תשלחי מייל עם תמונות מהחופשה לחברים שלי.,sendemail
תבקשי ממנהל הפרויקט אישור במייל על המסמך האחרון.,sendemail
תשלחי אימייל עם הכותרת 'עזרה דחופה' לעמית שלי.,sendemail
תכתבי הודעה במייל על האירוע הקרוב לצוות.,sendemail
תבקשי מחברי הצוות לעדכן את התוכנית במייל.,sendemail
אני צריך לשלוח מייל על פרטי הפגישה לשותפים.,sendemail
תשלחי מייל לברר על המוצר החדש.,sendemail
תשלחי מייל לחבר שלי עם תמונות מהטיול.,sendemail
תכתבי אימייל לשירות לקוחות ותשאלי על ההזמנה.,sendemail
אני צריך לשלוח מייל לעמית שלי עם העדכונים האחרונים.,sendemail
תבקשי מהבוס במייל אישור על החופשה.,sendemail
תשלחי הודעה במייל למנהל על הפגישה שנקבעה.,sendemail
תבקשי מהמנהל שלי במייל עדכון על הדוח.,sendemail
תשלחי מייל לקולגה שלי עם הקובץ המצורף.,sendemail
תכתבי מייל ללקוח ותודיעי לו על השינוי בזמנים.,sendemail
אני צריך לשלוח מייל לבוס עם פרטי הפרויקט.,sendemail
תבקשי מאמא שלי במייל את המתכון שלה לעוגה.,sendemail
תשלחי מייל לחברה שלי ותבקשי ממנה לחזור אליי.,sendemail
תכתבי אימייל למנהל שלי על הפגישה מחר.,sendemail
אני צריך לשלוח מייל לספק עם פרטי ההזמנה.,sendemail
תשלחי מייל עם תמונות מהחופשה לחברים שלי.,sendemail
תבקשי ממנהל הפרויקט אישור במייל על המסמך האחרון.,sendemail
תשלחי אימייל עם הכותרת 'עזרה דחופה' לעמית שלי.,sendemail
תכתבי הודעה במייל על האירוע הקרוב לצוות.,sendemail
תבקשי מחברי הצוות לעדכן את התוכנית במייל.,sendemail
אני צריך לשלוח מייל על פרטי הפגישה לשותפים.,sendemail
תשלחי מייל לברר על המוצר החדש.,sendemail
תשלחי מייל לחבר שלי עם תמונות מהטיול.,sendemail
תכתבי אימייל לשירות לקוחות ותשאלי על ההזמנה.,sendemail
אני צריך לשלוח מייל לעמית שלי עם העדכונים האחרונים.,sendemail
תבקשי מהבוס במייל אישור על החופשה.,sendemail
תשלחי הודעה במייל למנהל על הפגישה שנקבעה.,sendemail
תבקשי מהמנהל שלי במייל עדכון על הדוח.,sendemail
תשלחי מייל לקולגה שלי עם הקובץ המצורף.,sendemail
תכתבי מייל ללקוח ותודיעי לו על השינוי בזמנים.,sendemail
אני צריך לשלוח מייל לבוס עם פרטי הפרויקט.,sendemail
תבקשי מאמא שלי במייל את המתכון שלה לעוגה.,sendemail
תשלחי מייל לחברה שלי ותבקשי ממנה לחזור אליי.,sendemail
תכתבי אימייל למנהל שלי על הפגישה מחר.,sendemail
אני צריך לשלוח מייל לספק עם פרטי ההזמנה.,sendemail
תשלחי מייל עם תמונות מהחופשה לחברים שלי.,sendemail
תבקשי ממנהל הפרויקט אישור במייל על המסמך האחרון.,sendemail
תשלחי אימייל עם הכותרת 'עזרה דחופה' לעמית שלי.,sendemail
תכתבי הודעה במייל על האירוע הקרוב לצוות.,sendemail
תבקשי מחברי הצוות לעדכן את התוכנית במייל.,sendemail
אני צריך לשלוח מייל על פרטי הפגישה לשותפים.,sendemail
תשלחי מייל לברר על המוצר החדש.,sendemail
תשלחי מייל לחבר שלי עם תמונות מהטיול.,sendemail
תכתבי אימייל לשירות לקוחות ותשאלי על ההזמנה.,sendemail
אני צריך לשלוח מייל לעמית שלי עם העדכונים האחרונים.,sendemail
תבקשי מהבוס במייל אישור על החופשה.,sendemail
תשלחי הודעה במייל למנהל על הפגישה שנקבעה.,sendemail
תבקשי מהמנהל שלי במייל עדכון על הדוח.,sendemail
תשלחי מייל לקולגה שלי עם הקובץ המצורף.,sendemail
תכתבי מייל ללקוח ותודיעי לו על השינוי בזמנים.,sendemail
אני צריך לשלוח מייל לבוס עם פרטי הפרויקט.,sendemail
תבקשי מאמא שלי במייל את המתכון שלה לעוגה.,sendemail
תשלחי מייל לחברה שלי ותבקשי ממנה לחזור אליי.,sendemail
תכתבי אימייל למנהל שלי על הפגישה מחר.,sendemail
אני צריך לשלוח מייל לספק עם פרטי ההזמנה.,sendemail
תשלחי מייל עם תמונות מהחופשה לחברים שלי.,sendemail
תבקשי ממנהל הפרויקט אישור במייל על המסמך האחרון.,sendemail
תשלחי אימייל עם הכותרת 'עזרה דחופה' לעמית שלי.,sendemail
תכתבי הודעה במייל על האירוע הקרוב לצוות.,sendemail
תבקשי מחברי הצוות לעדכן את התוכנית במייל.,sendemail
אני צריך לשלוח מייל על פרטי הפגישה לשותפים.,sendemail
תשלחי מייל לברר על המוצר החדש.,sendemail
תשלחי מייל לחבר שלי עם תמונות מהטיול.,sendemail
תכתבי אימייל לשירות לקוחות ותשאלי על ההזמנה.,sendemail
אני צריך לשלוח מייל לעמית שלי עם העדכונים האחרונים.,sendemail
תבקשי מהבוס במייל אישור על החופשה.,sendemail
תשלחי הודעה במייל למנהל על הפגישה שנקבעה.,sendemail
תבקשי מהמנהל שלי במייל עדכון על הדוח.,sendemail
תשלחי מייל לקולגה שלי עם הקובץ המצורף.,sendemail
תכתבי מייל ללקוח ותודיעי לו על השינוי בזמנים.,sendemail
אני צריך לשלוח מייל לבוס עם פרטי הפרויקט.,sendemail
תבקשי מאמא שלי במייל את המתכון שלה לעוגה.,sendemail
תוסיפי לרשימת הקניות חלב וביצים.,lists_createoradd
תכתבי רשימה חדשה עם ירקות ופירות.,lists_createoradd
תוסיפי עגבניות ותפוחים לרשימה שלי.,lists_createoradd
תכתבי לי רשימה עם אורז וקמח.,lists_createoradd
תוסיפי שוקולד וקפה לרשימת הקניות.,lists_createoradd
תצרי רשימה חדשה עם חלב לחם וביצים.,lists_createoradd
תכתבי רשימת קניות עם חמאה ותפוזים.,lists_createoradd
תוסיפי שקדים ושמן זית לרשימה שלי.,lists_createoradd
תכתבי רשימה עם פריטים למטבח: קמח ושמן.,lists_createoradd
תוסיפי יוגורט ובננות לרשימת הקניות.,lists_createoradd
תצרי רשימת קניות עם עוגיות וחטיפים.,lists_createoradd
תכתבי לי רשימה חדשה עם ירקות טריים.,lists_createoradd
תוסיפי לרשימה שלי פסטה ורוטב עגבניות.,lists_createoradd
תכתבי רשימה עם גבינה ולחם טרי.,lists_createoradd
תוסיפי קפה וסוכר לרשימה שלי בבקשה.,lists_createoradd
תצרי רשימת קניות עם תפוחים ואגסים.,lists_createoradd
תכתבי לי רשימה עם חטיפים לילדים.,lists_createoradd
תוסיפי שוקולד וממתקים לרשימת הקניות שלי.,lists_createoradd
תכתבי רשימה עם מוצרי חלב.,lists_createoradd
תוסיפי לרשימה שלי יין אדום וחטיפים.,lists_createoradd
תכתבי רשימה חדשה עם גבינה וקרקרים.,lists_createoradd
תוסיפי קמח וסוכר לרשימת הקניות בבקשה.,lists_createoradd
תכתבי רשימה חדשה עם תפוזים ויוגורט.,lists_createoradd
תוסיפי לרשימת הקניות שלי עגבניות וקישואים.,lists_createoradd
תכתבי לי רשימה עם מוצרים לסלט ירקות.,lists_createoradd
תוסיפי לרשימה שוקולד מריר וחטיף בריאות.,lists_createoradd
"תכתבי רשימה עם אורז, שעועית, ועדשים.",lists_createoradd
תוסיפי יין לבן ושוקולד חלב לרשימה.,lists_createoradd
תכתבי רשימה חדשה עם מוצרי אפייה.,lists_createoradd
תוסיפי לרשימה שלי פירות יער וחטיפים.,lists_createoradd
